	SEQ.1	SEQ.2	SEQ.3	SEQ.4	SEQ.5	SEQ.6	SEQ.7	SEQ.8	SEQ.9	SEQ.10	SEQ.11	SEQ.12	SEQ.13	SEQ.14	SEQ.15	SEQ.16	SEQ.17	SEQ.18	SEQ.19	SEQ.20	SEQ.21	SEQ.22	SEQ.23	SEQ.24	SEQ.25	SEQ.26	SEQ.27	SEQ.28	SEQ.29	SEQ.30	SEQ.31	SEQ.32	SEQ.33	SEQ.34	SEQ.35	SEQ.36	SEQ.37	SEQ.38	SEQ.39	SEQ.40	SEQ.41	SEQ.42	SEQ.43	SEQ.44	SEQ.45	SEQ.46	SEQ.47	SEQ.48	SEQ.49	SEQ.50	SEQ.51	SEQ.52	SEQ.53	SEQ.54	SEQ.55	SEQ.56	SEQ.57	SEQ.58	SEQ.59	SEQ.60	SEQ.61	SEQ.62	SEQ.63	SEQ.64	SEQ.65	SEQ.66	SEQ.67	SEQ.68	SEQ.69	SEQ.70
k__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A	586	955	0	0	1392	1	0	495	872	8	3255	75	515	2207	693	5	49	78	21	124	324	51	0	628	447	0	1	81	9	32	0	0	20	0	9404	0	3930	0	2318	0	8	0	253	3424	492	0	0	98	0	0	239	146	0	0	0	40	0	8765	906	0	340	0	2886	11	0	11508	177	0	0	1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	6	110	26652	170	59	2463	7	7456	1667	52	2547	204535	241	172	224333	984	20374	6	0	200	1	69	1500	218	92	386	8482	209	8020	70	9295	5161	73631	91346	587649	623790	763	588159	81929	143	326745	592601	641	3467	48689	23878	697	2937	990	15421	128	4582	43228	235747	1665	2677	390	1967	5514	100307	14549	24684	37	4309	0	83121	119	12	2580	174646
k__Bacteria;p__Firmicutes;c__Bacilli;o__Other	11	111	38	16	22	9	1	17	6	3	49	152	30	23	118	31	49	31	9	13	30	5	51	44	44	2	32	46	43	22	7	4	26	53	423	408	121	735	106	1	192	323	37	72	46	34	43	21	13	15	9	70	49	131	31	39	31	54	33	149	13	14	21	17	3	598	15	13	8	139
k__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	0	0	1	1	38	0	0	0	1	0	3	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0	80	1	17	0	6	0	0	0	0	1	1	7	0	0	1	0	0	0	0	0	1	41	0	4	52	6	0	2	0	0	0	2	0	21	0	23	18	0	0	225	45	825	284	114	80	0	7	0	0	0	0	1	0	585	2	128	184	30	11	0	1	0	7	0	37	1698	251	65	48
k__Bacteria;p__Firmicutes;c__Other;o__Other	0	5	0	0	1	0	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	2	5	0	0	0	0	1	0	0	0	0	2	0	3	0	1	0	0	0	0	1	0	8	1	1	0	1	0	0	0	0	1	2	0	1	0	7	0	1	2	0	0	21	0	0	1	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales	116	3598	11	1	763	4910	0	5	31	157	4394	183990	62	12901	57337	1396	31803	3	34	18	1640	24	746	1298	401	82	865	75	485	39	14562	8585	1869	368	248	7227	13063	114	8876	34	4686	5517	7262	19955	39500	995	657	6874	9	72	5427	92	8823	4786	27	4066	8	154	563	72	607	249	4220	44	0	38643	762	3	1063	37888
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	21	0	0	0	0	0	0	0	0	7	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	173905	463178	98772	76404	185843	132512	58651	168559	126846	202500	310382	161562	173167	325137	86062	250509	89965	112124	165371	95344	263912	61738	235864	183018	324502	368392	285935	314438	265678	392970	38306	74760	30894	38062	5733	1297	511677	5941	257452	443999	220113	7531	368181	434864	1040	529148	485688	569090	220214	190040	340903	285077	184880	177845	329224	325096	261221	200475	276204	128680	259224	568523	543196	74822	92525	271934	275162	101443	242732	46246
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	52998	219	39416	17174	47201	1535	24498	40235	18902	4341	8450	48	162460	287	28635	2303	437	230149	80592	52537	57301	85660	3658	6421	14919	1390	20923	8563	45469	2110	664	45446	274	5353	132	0	5	56	843	650	21	0	185	495	0	1421	463	296	48433	41336	16316	9359	81768	532	1720	10276	9129	12854	5955	2306	4122	141	5005	52263	5966	276	16157	19746	113	660
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Other	3158	6391	1812	1392	3120	1419	943	3124	2195	2712	4559	1608	5212	4077	1774	4190	2954	5161	4430	2828	4252	2149	3237	2783	3818	5021	4554	4735	4878	5120	575	3377	443	1019	95	25	2920	421	2789	5328	2904	97	4702	6812	326	8347	7033	5928	4388	3920	5580	5352	3937	1296	3943	4554	3825	3705	6237	1973	4591	7333	7112	1923	1225	3190	3617	1145	3101	649
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	17940	28989	4356	10101	26957	22114	7856	17985	18024	4105	27324	50038	39314	238324	22912	88742	244422	8878	23586	17975	63020	3842	73376	33566	68780	20212	166365	168332	43928	71666	2570	6007	168	11865	849	340	38475	324	51176	46969	5650	2343	105251	119107	19509	1386	42016	6833	22060	24113	31022	101437	27655	2142	10936	87381	108439	103439	39945	606	14898	842	2761	42294	811	34752	70740	2913	885	23424
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	9	0	485
k__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	14	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Other;o__Other	11	1	4	0	1	1	0	23	9	5	4	0	11	0	6	2	17	11	38	8	5	14	1	36	2	38	6	3	6	2	0	0	0	8	1	0	2	0	0	0	1	3	2	1	2	1	2	1	10	13	3	7	14	0	10	8	0	8	46	1	35	0	0	3	3	4	0	2	50	4
k__Bacteria;p__Firmicutes_B;c__Peptococcia;o__Peptococcales	289	0	3192	195	129	145	7094	152	298	491	3107	0	1280	0	1362	201	19678	15	146	125	221	1435	30	200	51	57	55	12	24446	68	0	0	0	2919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	29593	288	24965	14454	0	481	0	59	24645	13681	72	164	0	0	6123	113	0	26	1510	1117	54
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	5148	14	6242	1202	2626	2378	5462	24111	12397	7262	136	169	17552	120	1172	349	125	4400	15165	13023	477	11014	393	1963	3410	227	663	250	2852	180	272	80	84	4450	0	0	14	8	62	6	0	0	42	6	0	11	23	0	3890	1834	518	1131	8459	16	353	949	311	1582	367	56	70	126	155	18569	536	163	1873	3455	617	177
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Other	32	0	8	41	10	16	5	60	18	17	20	0	25	0	14	4	0	20	29	25	21	24	9	53	7	36	1	1	2	2	7	0	0	23	3	0	0	0	1	0	0	5	0	0	0	3	0	0	14	3	78	1	2	0	3	1	0	1	0	1	23	0	0	170	35	0	8	57	0	5
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales	49473	30	5335	49744	12994	11311	3851	52537	26478	9575	29217	0	45351	72	2254	5502	30	5686	34594	43000	31361	9097	9866	98386	7444	73127	604	3392	3721	1088	18	3	14	27692	2278	0	24	4	118	195	234	18741	136	20	0	30	28	40	18123	623	20165	1201	3023	0	5552	280	344	665	213	5080	44131	31	78	23125	22567	0	13846	1105	76	11738
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	0	0	3	0	0	0	81	2	0	1	2924	0	2719	0	2805	0	1	3	7	3	0	4	0	0	0	7	2	1	70	0	0	0	0	529	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	0	0	0	0	1	73	0	0	1	0	856	3	0	0	25	0	2
k__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales	61071	31245	24514	40181	80847	102536	25420	7533	34190	32805	1403	21467	4690	3030	1196	17213	17911	607	51967	8989	16231	2105	15876	5510	29064	13264	10997	1193	5674	2594	251702	0	480	8966	0	0	84	108	265	577	9	0	914	2268	12	221	2487	8	11925	15762	46847	7386	20677	2798	24021	1227	2024	16691	2091	342	10238	951	227	39724	822	49	24307	426	16754	2967
k__Bacteria;p__Other;c__Other;o__Other	7205	7541	8818	10384	9786	9755	5634	10111	7736	8764	5939	2020	7619	5833	5757	8838	10508	7611	7759	8937	8313	7934	8719	8184	8106	7392	9328	10174	8460	8610	10025	8027	6000	9379	6884	3014	4742	4117	7091	7711	7443	3527	7207	8873	5390	7697	7665	5952	8980	6550	7446	8437	8141	10073	5889	7205	7292	8898	8137	4521	8527	5499	5696	10076	9130	13812	6836	8034	8005	7129
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	10	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	1	1	8	0	6	0	3	268	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	3	1	1	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	10412	26694	11608	19152	10531	3442	57962	6049	17145	18086	1120	1	1408	0	162	134	0	10292	7093	5055	5879	10395	279	1624	1028	2328	1841	86	2559	911	75	0	549	17219	0	155	0	1	0	121	0	203	75	139	0	0	0	0	4160	500	3619	168	9033	12	266	80	182	318	152	2229	555	7	3	10000	223	4	2657	10580	34	105
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	325	351	755	0	0	33592	617	1393	25745	11	48804	4094	818	3889	16543	331	70958	447	11266	4297	792	1304	788	6602	4538	1177	4989	0	6740	14	300078	17907	342661	30415	1032	1405	61799	558	10975	3	69926	4024	2	31715	524134	8805	1	18110	136	3210	366	5270	7337	36806	1	33	2	3712	9546	62	6327	724	18105	1319	362	157758	350	204125	1597	223878
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Other	9	2	8	2	3	43	1	1	31	1	49	6	1	3	3	0	96	1	4	8	5	8	2	4	0	1	19	0	52	0	531	35	2660	42	3	1	27	1	38	0	53	1	0	74	543	26	0	49	0	0	0	1	16	23	0	0	0	7	5	1	21	0	27	2	0	50	1	92	5	1764
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	1	7	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	140	1	99	1	0	0	0	16	0	0	0	0	0	17	0	11	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	6	0	66	1	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Other;o__Other	2	0	0	0	1	0	0	0	2	0	1	4	0	1	1	0	7	0	0	1	0	4	0	0	0	0	1	0	1	0	5	16	29	3	0	2	0	0	0	0	3	0	0	0	40	2	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	3	0	0	0	1	1	497
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	1	0	0	0	0	0	14	0	16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
